Date,dir,speed
2019-05-23 10:00:24,208,0.7
2019-05-23 10:30:24,225,0.9
2019-05-23 11:00:23,202,1
2019-05-23 11:30:24,195,1.1
2019-05-23 12:00:24,220,1
2019-05-23 12:30:23,234,1
2019-05-23 13:00:24,211,1
2019-05-23 13:30:24,234,0.8
2019-05-23 14:00:23,126,1.1
2019-05-23 14:30:23,106,2
2019-05-23 15:00:23,80,2
2019-05-23 15:30:24,30,2.2
2019-05-23 16:00:23,71,2.6
2019-05-23 16:30:24,57,3.4
2019-05-23 17:00:23,53,3.2
2019-05-23 17:30:23,45,3.5
2019-05-23 18:00:24,34,3.6
2019-05-23 18:30:24,38,2.4
2019-05-23 19:00:23,29,2.7
2019-05-23 19:30:23,47,3.6
2019-05-23 20:00:23,50,3.6
2019-05-23 20:30:23,49,2.8
2019-05-23 21:00:24,31,3.1
2019-05-23 21:30:24,24,2.7
2019-05-23 22:00:23,21,2.3
2019-05-23 22:30:23,40,1.2
2019-05-23 23:00:24,71,0.2
2019-05-23 23:30:23,58,0.7
2019-05-24 00:00:23,99,0.2
2019-05-24 00:30:24,298,0.2
2019-05-24 01:00:24,293,0.2
2019-05-24 01:30:23,317,0.5
2019-05-24 02:00:23,325,0.6
2019-05-24 02:30:24,326,0.7
2019-05-24 03:00:23,339,0.4
2019-05-24 03:30:24,326,0.6
2019-05-24 04:00:23,313,0.5
2019-05-24 04:30:24,323,0
2019-05-24 05:00:24,322,0
2019-05-24 05:30:24,263,0
2019-05-24 06:00:24,337,0
2019-05-24 06:30:23,295,0
2019-05-24 07:00:24,3,0.1
2019-05-24 07:30:24,178,0
2019-05-24 08:00:23,334,0
2019-05-24 08:30:23,255,0.2
2019-05-24 09:00:24,245,0.1
2019-05-24 09:30:23,271,0.2
2019-05-24 10:00:24,185,0.6
2019-05-24 10:30:23,256,0.3
2019-05-24 11:00:24,189,0.6
2019-05-24 11:30:24,192,0.6
2019-05-24 12:00:24,199,0.8
2019-05-24 12:30:23,241,0.7
2019-05-24 13:00:24,189,0.8
2019-05-24 13:30:24,227,0.5
2019-05-24 14:00:23,198,0.8
2019-05-24 14:30:24,155,0.9
2019-05-24 15:00:24,119,1.1
2019-05-24 15:30:24,95,1.9
2019-05-24 16:00:24,81,2.3
2019-05-24 16:30:23,79,2.2
2019-05-24 17:00:23,94,2.6
2019-05-24 17:30:24,114,2.7
2019-05-24 18:00:23,111,1.9
2019-05-24 18:30:24,79,1.9
2019-05-24 19:00:24,71,2.2
2019-05-24 19:30:24,65,2.3
2019-05-24 20:00:24,66,2.3
2019-05-24 20:30:24,54,3.3
2019-05-24 21:00:24,45,4.2
2019-05-24 21:30:23,43,2.9
2019-05-24 22:00:24,27,2.4
2019-05-24 22:30:23,76,1.3
2019-05-24 23:00:24,81,1.1
2019-05-24 23:30:24,44,1.1
2019-05-25 00:00:24,29,0.7
2019-05-25 00:30:23,97,0.2
2019-05-25 01:00:24,210,0.1
2019-05-25 01:30:23,326,0
2019-05-25 02:00:24,267,0.4
2019-05-25 02:30:23,68,0
2019-05-25 03:00:24,328,0.4
2019-05-25 03:30:24,355,0.1
2019-05-25 04:00:24,282,0.5
2019-05-25 04:30:24,271,0.9
2019-05-25 05:00:24,307,0.8
2019-05-25 05:30:24,198,0.1
2019-05-25 06:00:24,98,0
2019-05-25 06:30:24,236,0.1
2019-05-25 07:00:24,258,0
2019-05-25 07:30:24,185,0.1
2019-05-25 08:00:23,77,0.2
2019-05-25 08:30:24,357,0.1
2019-05-25 09:00:24,284,0.1
2019-05-25 09:30:24,75,0.2
2019-05-25 10:00:23,84,0.2
2019-05-25 10:30:24,154,0.2
2019-05-25 11:00:24,185,0.3
2019-05-25 11:30:24,203,0.4
2019-05-25 12:00:24,130,0.5
2019-05-25 12:30:24,193,0.6
2019-05-25 13:00:24,39,0.7
2019-05-25 13:30:24,136,1
2019-05-25 14:00:24,187,0.7
2019-05-25 14:30:24,165,0.8
2019-05-25 15:00:24,104,1.2
2019-05-25 15:30:23,79,2.2
2019-05-25 16:00:24,84,1.8
2019-05-25 16:30:23,70,2.1
2019-05-25 17:00:24,71,2.5
2019-05-25 17:30:24,48,4.1
2019-05-25 18:00:24,44,3.9
2019-05-25 18:30:24,48,3.1
2019-05-25 19:00:24,30,3.3
2019-05-25 19:30:23,35,2.4
2019-05-25 20:00:23,37,2.7
2019-05-25 20:30:24,67,1.4
2019-05-25 21:00:23,41,1.2
2019-05-25 21:30:24,44,1.8
2019-05-25 22:00:23,36,2.1
2019-05-25 22:30:24,43,2.4
2019-05-25 23:00:24,50,1.1
2019-05-25 23:30:23,78,0.8
2019-05-26 00:00:24,79,0.7
2019-05-26 00:30:24,53,1.8
2019-05-26 01:00:23,64,0.8
2019-05-26 01:30:24,77,0.6
2019-05-26 02:00:23,34,0.8
2019-05-26 02:30:24,3,0.5
2019-05-26 03:00:24,350,0.4
2019-05-26 03:30:23,61,0.1
2019-05-26 04:00:24,158,0.1
2019-05-26 04:30:24,147,0.3
2019-05-26 05:00:24,33,0.2
2019-05-26 05:30:23,26,0
2019-05-26 06:00:24,97,0.1
2019-05-26 06:30:24,235,0.1
2019-05-26 07:00:24,202,0.1
2019-05-26 07:30:24,267,0.2
2019-05-26 08:00:23,264,0
2019-05-26 08:30:23,191,0.1
2019-05-26 09:00:23,183,0.4
2019-05-26 09:30:23,187,0.5
2019-05-26 10:00:23,200,0.6
2019-05-26 10:30:24,221,0.8
2019-05-26 11:00:24,236,1.6
2019-05-26 11:30:23,226,1
2019-05-26 12:00:24,195,0.5
2019-05-26 12:30:24,187,0.7
2019-05-26 13:00:24,177,0.5
2019-05-26 13:30:24,137,0.5
2019-05-26 14:00:23,160,0.3
2019-05-26 14:30:24,179,0.4
2019-05-26 15:00:24,186,0.6
2019-05-26 15:30:23,187,0.5
2019-05-26 16:00:24,185,0.7
2019-05-26 16:30:23,206,1
2019-05-26 17:00:23,221,1
2019-05-26 17:30:23,216,0.4
2019-05-26 18:00:24,225,0.3
2019-05-26 18:30:23,237,0
2019-05-26 19:00:24,164,0
2019-05-26 19:30:23,130,0
2019-05-26 20:00:24,177,0
2019-05-26 20:30:24,1,0
2019-05-26 21:00:24,71,0.1
2019-05-26 21:30:24,186,0.6
2019-05-26 22:00:24,312,1.1
2019-05-26 22:30:24,314,0.9
2019-05-26 23:00:24,292,0.8
2019-05-26 23:30:23,280,0.5
2019-05-27 00:00:24,266,0.4
2019-05-27 00:30:24,260,0.3
2019-05-27 01:00:24,159,0.1
2019-05-27 01:30:24,149,0.2
2019-05-27 02:00:24,208,0
2019-05-27 02:30:24,218,0
2019-05-27 03:00:23,131,0.1
2019-05-27 03:30:23,88,0
2019-05-27 04:00:23,16,0
2019-05-27 04:30:23,29,0.1
2019-05-27 05:00:24,340,0.3
2019-05-27 05:30:24,338,0.2
2019-05-27 06:00:24,1,0
2019-05-27 06:30:24,359,0
2019-05-27 07:00:23,10,0
2019-05-27 07:30:24,293,0.1
2019-05-27 08:00:23,248,0
2019-05-27 08:30:24,233,0.1
2019-05-27 09:00:24,184,0.4
2019-05-27 09:30:23,251,0
2019-05-27 10:00:24,222,0.2
2019-05-27 10:30:24,258,0.3
2019-05-27 11:00:23,217,0.4
2019-05-27 11:30:23,222,0.7
2019-05-27 12:00:24,227,0.8
2019-05-27 12:30:24,201,0.9
2019-05-27 13:00:24,241,0.8
2019-05-27 13:30:23,263,0.6
2019-05-27 14:00:24,94,0.8
2019-05-27 14:30:23,73,1.4
2019-05-27 15:00:24,125,1.9
2019-05-27 15:30:23,158,2.3
2019-05-27 16:00:23,108,1.9
2019-05-27 16:30:24,114,0.8
2019-05-27 17:00:23,218,0.7
2019-05-27 17:30:24,299,2.7
2019-05-27 18:00:23,316,1.2
2019-05-27 18:30:23,287,0.7
2019-05-27 19:00:24,56,0.7
2019-05-27 19:30:23,54,3
2019-05-27 20:00:24,21,2.6
2019-05-27 20:30:23,246,1.1
2019-05-27 21:00:24,303,0.4
2019-05-27 21:30:24,271,0.1
2019-05-27 22:00:24,193,0.2
2019-05-27 22:30:24,87,0.1
2019-05-27 23:00:24,0,0.4
2019-05-27 23:30:23,356,0.3
2019-05-28 00:00:23,5,0.2
2019-05-28 00:30:23,358,0.1
2019-05-28 01:00:24,66,0.2
2019-05-28 01:30:24,47,0
2019-05-28 02:00:24,340,0.1
2019-05-28 02:30:24,309,0.6
2019-05-28 03:00:23,128,0.3
2019-05-28 03:30:24,152,0.5
2019-05-28 04:00:23,66,0.2
2019-05-28 04:30:24,30,0.3
2019-05-28 05:00:23,204,0.3
2019-05-28 05:30:24,312,0.3
2019-05-28 06:00:24,330,0.4
2019-05-28 06:30:23,263,0.4
2019-05-28 07:00:23,270,0
2019-05-28 07:30:24,339,0.2
2019-05-28 08:00:24,342,0.3
2019-05-28 08:30:24,150,0.8
2019-05-28 09:00:23,81,0.5
2019-05-28 09:30:24,46,1.6
2019-05-28 10:00:23,51,2.3
2019-05-28 10:30:24,47,2.9
2019-05-28 11:00:24,61,2.9
2019-05-28 11:30:23,39,2.6
2019-05-28 12:00:24,65,3
2019-05-28 12:30:24,49,3.6
2019-05-28 13:00:24,63,3.3
2019-05-28 13:30:24,61,2.9
2019-05-28 14:00:24,58,3.3
2019-05-28 14:30:24,65,3.3
2019-05-28 15:00:24,64,3.3
2019-05-28 15:30:24,63,3
2019-05-28 16:00:23,70,3.1
2019-05-28 16:30:24,109,2.1
2019-05-28 17:00:23,190,0.5
2019-05-28 17:30:23,198,0.7
2019-05-28 18:00:24,74,2.4
2019-05-28 18:30:24,55,2.8
2019-05-28 19:00:23,62,3.6
2019-05-28 19:30:24,84,2.9
2019-05-28 20:00:24,62,2.9
2019-05-28 20:30:24,71,2.5
2019-05-28 21:00:24,314,0.8
2019-05-28 21:30:23,311,0.7
2019-05-28 22:00:24,74,0.8
2019-05-28 22:30:23,6,1.2
2019-05-28 23:00:24,280,0.4
2019-05-28 23:30:24,188,0.1
